symbol,name,sector,composite_score,value_score,momentum_score,quality_score,flow_score,news_score,analyst_conviction_score,analyst_avg_score,analyst_report_count,analyst_broker_diversity,analyst_target_revision_pct,analyst_novelty_score,analyst_fwd_ret_5d,analyst_fwd_ret_20d,analyst_alpha_ret_5d,analyst_alpha_ret_20d,analyst_bias_adjustment,analyst_parse_quality_score,analyst_pdf_coverage,analyst_target_upside_pct,analyst_target_dispersion_pct,analyst_agreement_score,analyst_recency_score,analyst_latest_title,analyst_revision_breadth_score,analyst_revision_breadth_count,analyst_positive_revision_ratio,analyst_peer_spillover_score,analyst_peer_alpha_5d,analyst_peer_support_count,macro_sector_score,macro_regime_score,macro_micro_interaction_score,ml_pred_return_5d,ml_pred_score,ml_sector_score,ml_model_type,ml_train_rows,flow_top_brokers,flow_event_mix,micro_ofi,micro_foreign_pressure,micro_broker_concentration,micro_queue_imbalance,micro_absorption_score,microstructure_score,flow_intraday_samples,flow_intraday_avg_5m,flow_intraday_avg_15m,flow_intraday_avg_30m,flow_intraday_avg_60m,flow_intraday_last_event,flow_intraday_last_captured_at,factor_rank_score,analyst_rank_score,flow_state_score,flow_rank_score,flow_intraday_edge_score,flow_intraday_rank_score,micro_rank_score,macro_rank_score,ml_rank_score,active_source_count,card_score
000660,SK하이닉스,IT하드웨어 (반도체),0.6497666666666666,0.5,0.8800000000000001,0.3999999999999999,0.875,0.3666666666666667,7.6261,0.8675,2.0,2.0,0.0,0.7979,0.0,0.0,0.0,0.0,0.0,0.6522,0.0,40.9048,3.01,0.6699,0.7029,HBM 전선 이상 무,0.5,1.0,1.0,0.2701,3.4968,1.0,7.0,1.8,0.7870588235294118,0.02134415308439404,0.3058823529411765,0.6588235294117647,ridge_fewshot,6,,,,,,,,,0,,,,,,,1.0,0.42857142857142855,,,,,,0.9882352941176471,0.3058823529411765,4,0.6865191146881288
005930,삼성전자,IT하드웨어 (반도체),0.5752666666666666,0.5,0.68,0.6,0.4499999999999999,0.6666666666666666,9.5568,0.8118,3.0,3.0,0.0,0.7945,8.6649,0.0,3.4968,0.0,-0.0114,0.7505,0.3333,33.9492,4.8766,0.7512,0.776,진정한 풀스택,0.6649,2.0,1.0,0.0503,0.0,1.0,7.0,1.8,0.7605882352941177,0.04369014922628779,0.7176470588235294,0.6588235294117647,ridge_fewshot,6,,,,,,,,,0,,,,,,,0.6,0.6904761904761905,,,,,,0.9764705882352941,0.7176470588235294,4,0.6814084507042253
373220,LG에너지솔루션,2차전지/배터리,0.4931333333333333,0.5,0.24,0.6666666666666666,0.65,0.7333333333333334,8.1732,1.6047,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0132,0.5873,0.0,21.7799,0.0,1.0,0.8154,26년 ESS 추정치 추가 상향 조정,1.0,1.0,1.0,0.2784,0.0,1.0,0.0,1.8,0.6020588235294118,0.025867035674638564,0.36470588235294116,0.40588235294117647,ridge_fewshot,6,,,,,,,,,0,,,,,,,0.4,0.5119047619047619,,,,,,0.7176470588235294,0.36470588235294116,4,0.4815191146881287
005380,현대차,자동차/완성차,0.4928666666666667,0.5,0.36,0.4666666666666666,0.35,0.5666666666666667,6.9375,1.9298,2.0,1.0,0.0,0.7725,0.0,0.0,0.0,0.0,-0.0095,0.7945,0.5,-2.0772,0.0,1.0,0.7029,현대차(005380) 팰리세이드 리콜 관련 업데이트,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,0.5861764705882353,0.04132027976885575,0.6705882352941176,0.6705882352941176,ridge_fewshot,6,,,,,,,,,0,,,,,,,0.2,0.36904761904761907,,,,,,0.6823529411764706,0.6705882352941176,4,0.43439637826961763
081660,미스토홀딩스,의류/섬유,,,,,,,12.1778,5.0365,2.0,1.0,0.0,0.7581,0.0,0.0,0.0,0.0,0.0235,0.8224,0.5,38.7755,0.0,1.0,0.8154,"미스토홀딩스(081660) 4Q25 Review : 턴어라운드 본격화 전망되나, K패션은 기다림이 필요",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,0.7079411764705883,0.07637979122336636,0.9411764705882353,0.9411764705882353,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.9642857142857143,,,,,,0.9411764705882353,0.9411764705882353,3,0.8725083056478404
083500,에프엔에스테크,디스플레이장비및부품,,,,,,,12.5179,5.3707,2.0,1.0,0.0,0.7725,0.0,0.0,0.0,0.0,0.0274,0.7957,0.5,80.072,0.0,1.0,0.7385,에프엔에스테크(083500) 수익성 개선 흐름 본격화될 전망,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,0.7132352941176472,0.06688186129258145,0.8705882352941177,0.8705882352941177,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.9880952380952381,,,,,,0.9529411764705882,0.8705882352941177,3,0.862375415282392
039030,이오테크닉스,IT하드웨어 (반도체),,,,,,,10.4628,3.9465,2.0,1.0,0.0,0.7408,0.0,0.0,0.0,0.0,-0.0158,0.834,0.5,15.8901,0.0,1.0,0.8154,이오테크닉스(039030) NAND 고단화 수혜 예상,1.0,1.0,1.0,0.321,3.4968,2.0,7.0,1.8,0.9352941176470588,0.08180636757843368,0.9529411764705882,0.6588235294117647,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.8452380952380952,,,,,,1.0,0.9529411764705882,3,0.8452657807308969
036800,나이스정보통신,상업서비스와공급품,,,,,,,12.7167,6.0061,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0739,1.0,1.0,32.0755,0.0,1.0,0.8568,"나이스정보통신(036800) Valuation 저평가, TRS 성장성",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,0.7185294117647059,0.04667899281983383,0.7529411764705882,0.7529411764705882,ridge_fewshot,6,,,,,,,,,0,,,,,,,,1.0,,,,,,0.9647058823529412,0.7529411764705882,3,0.8340531561461793
036570,엔씨소프트,엔터테인먼트/게임,,,,,,,12.2408,3.7815,3.0,2.0,0.0,0.784,0.0,0.0,0.0,0.0,-0.0486,0.7493,0.3333,65.9452,8.6083,0.9139,0.8568,엔씨소프트(036570) 실적은 센티를 이긴다,1.0,2.0,1.0,0.238,0.0,4.0,0.0,1.8,0.6391176470588236,0.05678329858038157,0.8,0.8658823529411764,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.9761904761904762,,,,,,0.8,0.8,3,0.8069767441860465
393890,더블유씨피,전기제품,,,,,,,12.078,4.4294,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0134,0.589,0.0,120.2202,0.0,1.0,0.8154,"실적, 밸류에이션 정상화 초입 구간",1.0,1.0,1.0,0.3526,0.0,2.0,0.0,1.8,0.6973529411764706,0.04375336345290609,0.7294117647058823,0.7137254901960784,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.9523809523809523,,,,,,0.9176470588235294,0.7294117647058823,3,0.8008305647840529
229640,LS에코에너지,전기장비,,,,,,,10.1006,3.8844,2.0,1.0,0.0,0.7386,0.0,0.0,0.0,0.0,-0.0026,0.8237,0.5,23.1102,0.0,1.0,0.7029,LS에코에너지(229640) 희토류 탈중국화 밸류체인 한 축을 담당하면서 성장성 부각,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,0.6497058823529411,0.0818363535189909,0.9647058823529412,0.9647058823529412,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.7857142857142857,,,,,,0.8235294117647058,0.9647058823529412,3,0.7926910299003322
023910,대한약품,제약,,,,,,,11.7425,4.371,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0739,1.0,1.0,32.67,0.0,1.0,0.8568,대한약품(023910) 안정적인 수액제 생산 & Valuation 저평가,1.0,1.0,1.0,0.2593,0.0,4.0,0.0,1.8,0.6920588235294118,0.042216572075727044,0.6941176470588235,0.6588235294117647,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.9404761904761905,,,,,,0.9058823529411765,0.6941176470588235,3,0.7838039867109634
327260,RF머트리얼즈,우주항공과국방,,,,,,,11.4222,2.5663,1.0,1.0,0.0,0.8,7.4128,0.0,9.2717,0.0,0.164,0.5782,0.0,86.9159,0.0,1.0,0.6058,광모듈 수요가 끝이 없다,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,0.5597058823529413,0.06645537388276854,0.8588235294117647,0.8352941176470587,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.9285714285714286,,,,,,0.6235294117647059,0.8588235294117647,3,0.7725913621262457
365340,성일하이텍,전기제품,,,,,,,10.1819,4.2306,2.0,1.0,0.0,0.7794,0.0,0.0,0.0,0.0,-0.1022,0.925,0.5,15.873,0.0,1.0,0.7385,성일하이텍(365340) 콥데이 後記: 본격적인 실적 턴러어라운드 시작,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,0.6761764705882354,0.05088401212213048,0.788235294117647,0.7137254901960784,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.8095238095238095,,,,,,0.8705882352941177,0.788235294117647,3,0.7581395348837208
010950,S-Oil,화학/석유화학,,,,,,,11.2354,4.3043,2.0,2.0,0.0,0.7982,0.0,0.0,0.0,0.0,-0.0438,0.7891,0.5,23.1818,3.321,0.6668,0.8154,"호르무즈 봉쇄, 오히려 전화위복!",1.0,2.0,1.0,0.3577,0.0,1.0,0.0,1.8,0.681470588235294,0.0412757237077006,0.6588235294117647,0.5215686274509804,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.9047619047619048,,,,,,0.8823529411764706,0.6588235294117647,3,0.7559800664451826
086450,동국제약,제약,,,,,,,11.0535,4.9732,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22.549,0.0,1.0,0.7029,"동국제약(086450) 성장성: 화장품, 모멘텀: DDS",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,0.7026470588235294,0.03906053851722818,0.6352941176470588,0.6588235294117647,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.8928571428571429,,,,,,0.9294117647058824,0.6352941176470588,3,0.7540697674418604
032500,케이엠더블유,통신장비/네트워크,,,,,,,11.3621,3.954,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2617,0.6532,0.0,167.3797,0.0,1.0,0.7385,실적 확인하고 매수하시면 늦습니다,1.0,1.0,1.0,0.2829,0.0,1.0,0.0,1.8,0.6655882352941176,0.040474111748219105,0.6470588235294118,0.8176470588235294,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.9166666666666666,,,,,,0.8470588235294118,0.6470588235294118,3,0.749750830564784
352820,하이브,엔터테인먼트/게임,,,,,,,9.8172,2.6371,4.0,2.0,0.0,0.7507,0.0,0.0,0.0,0.0,0.067,0.8215,0.5,20.0,3.2258,0.6677,0.8154,하이브(352820) 확신의 실적 모멘텀이 시작된다,1.0,2.0,1.0,0.2225,0.0,4.0,0.0,1.8,0.565,0.07124827502246588,0.8941176470588236,0.8658823529411764,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.75,,,,,,0.6352941176470588,0.8941176470588236,3,0.7218438538205979
005680,삼영전자,전기제품,,,,,,,10.9153,3.4691,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0363,1.0,1.0,38.0991,0.0,1.0,0.776,"삼영전자(005680) 순현금이 많은 기업, 신사업 추진",1.0,1.0,1.0,0.3627,0.0,1.0,0.0,1.8,0.628529411764706,0.038427499565436396,0.6235294117647059,0.7137254901960784,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.8809523809523809,,,,,,0.7764705882352941,0.6235294117647059,3,0.7161129568106311
017960,한국카본,조선,,,,,,,10.5709,3.9355,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0521,0.537,0.0,33.6516,0.0,1.0,0.7029,LNG 보냉제 성장에 방산까지 영역 확대,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,0.655,0.036849940846209975,0.6,0.6,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.8571428571428571,,,,,,0.8352941176470589,0.6,3,0.7122923588039867
000150,두산,복합기업,,,,,,,10.5786,3.6428,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2359,0.6018,0.0,30.6729,0.0,1.0,0.7385,서버 구조의 변화는 중장기 성장의 근거,1.0,1.0,1.0,0.278,0.0,1.0,0.0,1.8,0.6338235294117647,0.036885211467981294,0.611764705882353,0.43137254901960786,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.8690476190476191,,,,,,0.788235294117647,0.611764705882353,3,0.7107142857142855
178320,서진시스템,통신장비/네트워크,,,,,,,9.3981,2.3987,2.0,1.0,0.0,0.6977,0.0,0.0,0.0,0.0,-0.0038,0.925,0.5,47.2135,0.0,1.0,0.7029,서진시스템(178320) 수직계열화의 신이 보여줄 Showtime,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,0.5438235294117648,0.11002000238676203,0.9882352941176471,0.8176470588235294,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.6547619047619048,,,,,,0.5882352941176471,0.9882352941176471,3,0.7065614617940199
120110,코오롱인더,화학/석유화학,,,,,,,10.4472,4.0977,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0102,1.0,1.0,27.2189,0.0,1.0,0.7385,"코오롱인더(120110) 실적은 반등, 포트폴리오는 진화",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,0.6708823529411765,0.0362833205977538,0.5882352941176471,0.5215686274509804,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.8333333333333334,,,,,,0.8588235294117647,0.5882352941176471,3,0.7049833887043188
039200,오스코텍,제약,,,,,,,9.6646,2.0539,2.0,1.0,0.0,0.7455,0.0,0.0,0.0,0.0,-0.0771,0.8726,0.5,43.4034,0.0,1.0,0.7385,오스코텍(039200) NDR 후기: 열매가 주렁주렁,1.0,1.0,1.0,0.2866,0.0,2.0,0.0,1.8,0.506764705882353,0.07454164478561949,0.9294117647058824,0.6588235294117647,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.7380952380952381,,,,,,0.5176470588235295,0.9294117647058824,3,0.7048172757475083
004170,신세계,유통/백화점,,,,,,,10.3925,4.3338,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.5812,0.0,22.1167,0.0,1.0,0.7029,인바운드 증가 모멘텀은 2Q에 더 강화될 전망,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,0.6867647058823529,0.03603276176517051,0.5764705882352941,0.39215686274509803,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.8214285714285714,,,,,,0.8941176470588236,0.5764705882352941,3,0.7042358803986709
035900,JYP Ent.,엔터테인먼트/게임,,,,,,,9.5969,1.9458,4.0,2.0,0.0,0.7476,0.0,0.0,0.0,0.0,0.0428,0.8248,0.5,28.9398,2.2222,0.6778,0.8154,JYP Ent.(035900) 육각형 포트폴리오를 향해,1.0,2.0,1.0,0.2338,0.0,4.0,0.0,1.8,0.49088235294117655,0.07261923513997992,0.9176470588235294,0.8658823529411764,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.7142857142857143,,,,,,0.4823529411764706,0.9176470588235294,3,0.6858803986710963
122870,와이지엔터테인먼트,엔터테인먼트/게임,,,,,,,9.4982,2.1271,4.0,2.0,0.0,0.7536,0.0,0.0,0.0,0.0,0.0743,0.8088,0.5,25.0,8.1081,0.6189,0.8154,와이지엔터테인먼트(122870) 모멘텀 플레이 가능 구간,1.0,2.0,1.0,0.2308,0.0,4.0,0.0,1.8,0.5226470588235295,0.06756054986851555,0.8823529411764706,0.8658823529411764,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.6785714285714286,,,,,,0.5411764705882353,0.8823529411764706,3,0.6743355481727573
010060,OCI홀딩스,화학,,,,,,,10.1594,2.9182,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.043,0.6035,0.0,77.6316,0.0,1.0,0.8568,태양광 중심으로 재편되는 에너지 안보 패러..,1.0,1.0,1.0,0.0453,0.0,1.0,0.0,1.8,0.596764705882353,0.03496502385154774,0.5529411764705883,0.396078431372549,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.7976190476190477,,,,,,0.7058823529411765,0.5529411764705883,3,0.651578073089701
023530,롯데쇼핑,유통/백화점,,,,,,,10.0338,3.1377,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0608,0.6198,0.0,33.7047,0.0,1.0,0.776,백화점에서 확산되는 온기(溫氣),1.0,1.0,1.0,0.0874,0.0,1.0,0.0,1.8,0.6073529411764707,0.03438970046265448,0.5294117647058824,0.39215686274509803,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.7738095238095238,,,,,,0.7294117647058823,0.5294117647058824,3,0.6407807308970099
200710,에이디테크놀로지,반도체와반도체장비,,,,,,,10.0333,3.242,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.1377,0.5362,0.0,25.2747,0.0,1.0,0.8154,콥데이 후기: 전성기를 넘어보자,1.0,1.0,1.0,0.2518,0.0,2.0,0.0,1.8,0.6179411764705882,0.03438741016253946,0.5176470588235295,0.55,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.7619047619047619,,,,,,0.7529411764705882,0.5176470588235295,3,0.6377076411960132
004000,롯데정밀화학,화학,,,,,,,9.6054,3.8189,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23.2877,0.0,1.0,0.7029,롯데정밀화학(004000) 암모니아 가격 상승으로 인한 반사수혜 전망,1.0,1.0,1.0,-0.2757,0.0,0.0,0.0,1.8,0.6444117647058825,0.032427371324104545,0.5058823529411764,0.396078431372549,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.7261904761904762,,,,,,0.8117647058823529,0.5058823529411764,3,0.6331395348837209
226330,신테카바이오,건강관리업체및서비스,,,,,,,7.1732,2.65,2.0,1.0,0.0,0.6802,0.0,0.0,0.0,0.0,-0.0153,0.925,0.5,0.0,0.0,0.7,0.7029,신테카바이오(226330) AI 신약개발플랫폼 사업의 본격적인 실적 성장 기대,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,0.5702941176470588,0.11326448335215629,1.0,1.0,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.39285714285714285,,,,,,0.6470588235294118,1.0,3,0.6284883720930232
347700,스피어,우주항공과국방,,,,,,,8.3367,2.8434,2.0,1.0,0.0,0.7607,0.0,0.0,0.0,0.0,-0.0103,0.8021,0.5,0.0,0.0,0.7,0.7029,스피어(347700) 스페이스X 발사체 성장은 곧 나의 성장,1.0,1.0,1.0,0.6412,5.0,1.0,0.0,1.8,0.5808823529411765,0.056789063000623474,0.8117647058823529,0.8352941176470587,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.5357142857142857,,,,,,0.6705882352941176,0.8117647058823529,3,0.6281561461794019
097230,HJ중공업,건설,,,,,,,8.4074,1.3423,2.0,1.0,0.0,0.7414,0.0,0.0,0.0,0.0,-0.036,0.7521,0.5,66.0079,0.0,1.0,0.7029,HJ중공업(097230) 신호탄,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,0.45382352941176474,0.07193074386272975,0.9058823529411765,0.5882352941176471,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.5595238095238095,,,,,,0.4117647058823529,0.9058823529411765,3,0.6133720930232557
215200,메가스터디교육,교육서비스,,,,,,,9.5607,3.2167,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0739,1.0,1.0,25.0,0.0,1.0,0.8568,메가스터디교육(215200) 국내 교육기업 대장,1.0,1.0,1.0,-0.0773,-0.3935,1.0,0.0,1.8,0.6126470588235294,0.03222261849382167,0.49411764705882355,0.2431372549019608,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.7023809523809523,,,,,,0.7411764705882353,0.49411764705882355,3,0.6072259136212623
011070,LG이노텍,디스플레이/IT부품,,,,,,,9.4345,2.8568,2.0,2.0,0.0,0.7964,0.0,0.0,0.0,0.0,-0.0036,0.5832,0.0,17.5549,4.0,0.96,0.8154,안 살 이유가 없다,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.8,0.5914705882352942,0.03440849476204597,0.5411764705882353,0.5411764705882353,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.6666666666666666,,,,,,0.6941176470588235,0.5411764705882353,3,0.5991694352159468
047050,포스코인터내셔널,무역회사와판매업체,,,,,,,9.2875,2.1161,3.0,3.0,0.0,0.7936,0.0,0.0,0.0,0.0,0.0115,0.5714,0.0,20.4986,3.3838,0.7662,0.8568,"단단한 펀더멘털, 축소될 밸류에이션 갭",1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.8,0.5173529411764706,0.03588488387498415,0.5647058823529412,0.5647058823529412,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.6428571428571429,,,,,,0.5294117647058824,0.5647058823529412,3,0.5651162790697674
402340,SK스퀘어,복합기업,0.6189666666666666,0.5,0.8399999999999999,0.5333333333333333,0.6749999999999999,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.8,0.44852941176470595,0.01948007889294018,0.2823529411764706,0.43137254901960786,ridge_fewshot,6,,,,,,,,,0,,,,,,,0.8,,,,,,,0.4,0.2823529411764706,3,0.5556064690026954
271560,오리온,음식료/담배,,,,,,,8.2624,0.9476,4.0,3.0,0.0,0.7662,0.0,0.0,0.0,0.0,-0.0467,0.7071,0.25,30.2474,4.7176,0.8028,0.776,"춘절 끝, 이제는 앞만 보고 달린다",0.7018,2.0,1.0,0.0,0.0,0.0,0.0,1.8,0.40617647058823536,0.05006160741633485,0.7764705882352941,0.7764705882352941,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.5238095238095238,,,,,,0.3058823529411765,0.7764705882352941,3,0.5413621262458471
034730,SK,석유와가스,,,,,,,8.4844,3.3901,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1981,0.6498,0.0,-0.2494,0.0,1.0,0.8568,자사주 소각에 따른 재무적 효과 결국 주가에..,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,0.6232352941176471,0.027292518466227603,0.38823529411764707,0.38823529411764707,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.5714285714285714,,,,,,0.7647058823529411,0.38823529411764707,3,0.5338870431893686
